waiver_value_tier,fantasy_regular_season_weeks_remaining,league_budget_pct_remaining,winning_bid_dollars
3,1,25,23
3,1,25,21
3,1,25,10
1,2,30,60
1,2,30,22
2,2,30,18
2,2,30,11
4,3,30,5
4,3,30,2
4,3,30,2
2,4,40,42
2,4,40,18
4,4,40,7
5,4,40,7
5,4,40,2
5,4,40,2
2,5,45,25
2,5,45,21
4,5,45,10
1,6,50,35
2,6,50,25
2,6,50,11
4,6,50,15
4,6,50,5
2,7,55,30
2,7,55,20
3,7,55,7
3,7,55,6
1,8,60,56
4,8,60,20
2,8,60,11
3,8,60,5
2,9,65,36
1,9,65,35
3,9,65,20
4,9,65,20
5,9,65,4
1,10,70,41
2,10,70,21
1,11,70,75
1,11,70,35
3,11,70,21
4,11,70,10
5,11,70,5
5,11,70,2
2,12,75,20
2,12,75,20
3,12,75,15
4,12,75,7
4,12,75,6
4,12,75,5
5,12,75,4
1,13,100,65
1,13,100,42
1,13,100,26
2,13,100,25
3,13,100,16
3,13,100,11
3,13,100,10
3,13,100,10
3,13,100,5
3,13,100,5
